,year,week_num,start_date,end_date,rank,music,singer,album
0,2014,48,2014.11.23,2014.11.29,1,세 사람 (With 성시경),토이 (Toy),Da Capo
1,2014,48,2014.11.23,2014.11.29,2,광화문에서 (At Gwanghwamun),규현 (KYUHYUN),The 1st Mini Album `광화문에서 (At Gwanghwamun)`
2,2014,48,2014.11.23,2014.11.29,3,U & I (With Crush & 빈지노),토이 (Toy),Da Capo
3,2014,48,2014.11.23,2014.11.29,4,나는 달라 (Feat. BOBBY),HI SUHYUN,나는 달라
4,2014,48,2014.11.23,2014.11.29,5,GOOD BOY,GD X TAEYANG,GOOD BOY
5,2014,48,2014.11.23,2014.11.29,6,인생은 아름다워 (With 다이나믹듀오 & Zion. T & Crush),토이 (Toy),Da Capo
6,2014,48,2014.11.23,2014.11.29,7,사뿐사뿐 (Like a Cat),AOA,사뿐사뿐
7,2014,48,2014.11.23,2014.11.29,8,너의 바다에 머무네 (With 김동률),토이 (Toy),Da Capo
8,2014,48,2014.11.23,2014.11.29,9,"Goodbye sun, Goodbye moon (With 이수현 of 악동뮤지션)",토이 (Toy),Da Capo
9,2014,48,2014.11.23,2014.11.29,10,그녀가 말했다 (With 권진아),토이 (Toy),Da Capo
10,2014,48,2014.11.23,2014.11.29,11,Reset (With 이적),토이 (Toy),Da Capo
11,2014,48,2014.11.23,2014.11.29,12,쓰담쓰담,10cm,3.0
12,2014,48,2014.11.23,2014.11.29,13,내가 그리웠니 (Feat. 진실 of Mad Soul Child),MC몽,MISS ME OR DISS ME
13,2014,48,2014.11.23,2014.11.29,14,지워 (Feat. 아이언),"효린, 주영",지워
14,2014,48,2014.11.23,2014.11.29,15,내 생애 가장 행복한 시간 (Feat. 허각),MC몽,MISS ME OR DISS ME
15,2014,48,2014.11.23,2014.11.29,16,피아니시모 (With 김예림),토이 (Toy),Da Capo
16,2014,48,2014.11.23,2014.11.29,17,12시 30분,비스트 (Beast),Time
17,2014,48,2014.11.23,2014.11.29,18,헤픈엔딩 (Feat. 조원선 of 롤러코스터),에픽하이 (EPIK HIGH),신발장
18,2014,48,2014.11.23,2014.11.29,19,그리워라,10cm,3.0
19,2014,48,2014.11.23,2014.11.29,20,우리,토이 (Toy),Da Capo
20,2014,48,2014.11.23,2014.11.29,21,죽을만큼 아파서 Part 2 (Feat. 스웨덴세탁소),MC몽,MISS ME OR DISS ME
21,2014,48,2014.11.23,2014.11.29,22,취한 밤,토이 (Toy),Da Capo
22,2014,48,2014.11.23,2014.11.29,23,언제쯤이면 (Duet.아이유),윤현상,피아노포르테 (Pianoforte)
23,2014,48,2014.11.23,2014.11.29,24,언제나 타인 (With 선우정아),토이 (Toy),Da Capo
24,2014,48,2014.11.23,2014.11.29,25,하지하지마,GOT7,Identify
25,2014,48,2014.11.23,2014.11.29,26,도망가자 (Feat. 린),MC몽,MISS ME OR DISS ME
26,2014,48,2014.11.23,2014.11.29,27,마음 단단히 먹어 (Feat. 에일리),MC몽,MISS ME OR DISS ME
27,2014,48,2014.11.23,2014.11.29,28,산다는 건 (Cheer Up),홍진영,인생노트 (LIFE NOTE)
28,2014,48,2014.11.23,2014.11.29,29,"집 밥 (Feat. 긱스, 이희선여사)",김범수,HIM
29,2014,48,2014.11.23,2014.11.29,30,아무도 모른다 (Inst.),토이 (Toy),Da Capo
30,2014,48,2014.11.23,2014.11.29,31,신촌을 못가,포스트맨 (Postmen),신촌을 못가
31,2014,48,2014.11.23,2014.11.29,32,피아노 (Inst.),토이 (Toy),Da Capo
32,2014,48,2014.11.23,2014.11.29,33,"BORN HATER (Feat. 빈지노, 버벌진트, B.I, MINO, BOBBY)",에픽하이 (EPIK HIGH),신발장
33,2014,48,2014.11.23,2014.11.29,34,위아래,EXID,위아래
34,2014,48,2014.11.23,2014.11.29,35,New York (Feat. 백지영),MC몽,MISS ME OR DISS ME
35,2014,48,2014.11.23,2014.11.29,36,펑펑,알리 (ALi),Turning Point
36,2014,48,2014.11.23,2014.11.29,37,"고장난 선풍기 (Feat. 개리, 효린 of 씨스타)",MC몽,MISS ME OR DISS ME
37,2014,48,2014.11.23,2014.11.29,38,Lost Stars,Adam Levine,영화 Begin Again OST
38,2014,48,2014.11.23,2014.11.29,39,손대지마,에일리 (Ailee),Magazine
39,2014,48,2014.11.23,2014.11.29,40,Tough Cookie (Feat. Don Mills),지코 (ZICO),Tough Cookie
40,2014,48,2014.11.23,2014.11.29,41,"화장 지웠어 (Feat. Zion.T, HA:TFELT) (No make up)",개코,REDINGRAY
41,2014,48,2014.11.23,2014.11.29,42,Whatever (Feat. 민아 of 걸스데이),MC몽,MISS ME OR DISS ME
42,2014,48,2014.11.23,2014.11.29,43,스토커,10cm,3.0
43,2014,48,2014.11.23,2014.11.29,44,그게나야,김동률,동행
44,2014,48,2014.11.23,2014.11.29,45,스포일러,에픽하이 (EPIK HIGH),신발장
45,2014,48,2014.11.23,2014.11.29,46,공허해,위너(WINNER),2014 S/S
46,2014,48,2014.11.23,2014.11.29,47,첫눈예보 (Feat. 제이켠),나비 (Navi),첫눈예보
47,2014,48,2014.11.23,2014.11.29,48,Candy Jelly Love,러블리즈,Girls` Invasion
48,2014,48,2014.11.23,2014.11.29,49,틈,"소유 (SOYOU), 권순일, 박용인",소유 X 어반자카파 (권순일 & 박용인) `틈`
49,2014,48,2014.11.23,2014.11.29,50,끼부리지마,위너(WINNER),2014 S/S
50,2014,48,2014.11.23,2014.11.29,51,시간과 낙엽,AKMU (악뮤),시간과 낙엽
51,2014,48,2014.11.23,2014.11.29,52,위로,어반 자카파 (Urban Zakapa),(04)
52,2014,48,2014.11.23,2014.11.29,53,What could I do (Feat. 범키),MC몽,MISS ME OR DISS ME
53,2014,48,2014.11.23,2014.11.29,54,어떻게 사랑이 그래요,이승환,Hwantastic
54,2014,48,2014.11.23,2014.11.29,55,야생화,박효신,야생화
55,2014,48,2014.11.23,2014.11.29,56,술이 너보다 낫더라,"포스트맨, 6 to 8",술이 너보다 낫더라
56,2014,48,2014.11.23,2014.11.29,57,"묘해, 너와",어쿠스틱 콜라보,연애의 발견 OST Part 4
57,2014,48,2014.11.23,2014.11.29,58,보고싶어,걸스데이 (Girl`s Day),보고싶어
