,year,week_num,start_date,end_date,rank,music,singer,album
0,2019,1,2018.12.30,2019.01.05,1,180도,벤 (Ben),180˚
1,2019,1,2018.12.30,2019.01.05,2,넘쳐흘러,엠씨더맥스 (M.C The Max),Circular
2,2019,1,2018.12.30,2019.01.05,3,SOLO,제니 (JENNIE),SOLO
3,2019,1,2018.12.30,2019.01.05,4,신용재,하은,신용재
4,2019,1,2018.12.30,2019.01.05,5,벌써 12시,청하,벌써 12시
5,2019,1,2018.12.30,2019.01.05,6,MILLIONS,위너(WINNER),MILLIONS
6,2019,1,2018.12.30,2019.01.05,7,아낙네,MINO (송민호),XX
7,2019,1,2018.12.30,2019.01.05,8,너를 만나,폴킴,너를 만나
8,2019,1,2018.12.30,2019.01.05,9,YES or YES,TWICE,YES or YES
9,2019,1,2018.12.30,2019.01.05,10,첫눈에,헤이즈 (Heize),첫눈에
10,2019,1,2018.12.30,2019.01.05,11,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part 3
11,2019,1,2018.12.30,2019.01.05,12,내 생에 아름다운,케이윌 (K.Will),뷰티 인사이드 OST Part.4
12,2019,1,2018.12.30,2019.01.05,13,Love Shot,EXO,LOVE SHOT - The 5th Album Repackage
13,2019,1,2018.12.30,2019.01.05,14,가을 타나 봐,바이브 (Vibe),가을 타나 봐
14,2019,1,2018.12.30,2019.01.05,15,삐삐,아이유 (IU),삐삐
15,2019,1,2018.12.30,2019.01.05,16,습관 (Bad Habits),숀 (SHAUN),안녕
16,2019,1,2018.12.30,2019.01.05,17,"thank u, next",Ariana Grande,"thank u, next"
17,2019,1,2018.12.30,2019.01.05,18,고백,양다일,고백
18,2019,1,2018.12.30,2019.01.05,19,Way Back Home,숀 (SHAUN),Take
19,2019,1,2018.12.30,2019.01.05,20,흔한 이별,허각,흔한 이별
20,2019,1,2018.12.30,2019.01.05,21,아름답고도 아프구나,비투비 (BTOB),HOUR MOMENT
21,2019,1,2018.12.30,2019.01.05,22,열애중,벤 (Ben),RECIPE
22,2019,1,2018.12.30,2019.01.05,23,하루도 그대를 사랑하지 않은 적이 없었다,임창정,하루도 그대를 사랑하지 않은 적이 없었다
23,2019,1,2018.12.30,2019.01.05,24,Tempo,EXO,DON`T MESS UP MY TEMPO - The 5th Album
24,2019,1,2018.12.30,2019.01.05,25,이별하러 가는 길,임한별,이별하러 가는 길
25,2019,1,2018.12.30,2019.01.05,26,IDOL,방탄소년단,LOVE YOURSELF 結 `Answer`
26,2019,1,2018.12.30,2019.01.05,27,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1, Kid Milli, 루피 (Loopy)",쇼미더머니 777 Episode 1
27,2019,1,2018.12.30,2019.01.05,28,Snowman,Sia,Snowman
28,2019,1,2018.12.30,2019.01.05,29,사계 (하루살이),엠씨더맥스 (M.C The Max),Circular
29,2019,1,2018.12.30,2019.01.05,30,지나오다,닐로 (Nilo),About You
30,2019,1,2018.12.30,2019.01.05,31,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,SQUARE UP
31,2019,1,2018.12.30,2019.01.05,32,봄바람,Wanna One (워너원),1¹¹=1 (POWER OF DESTINY)
32,2019,1,2018.12.30,2019.01.05,33,Wind flower,마마무 (Mamamoo),BLUE;S
33,2019,1,2018.12.30,2019.01.05,34,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),COLOR*IZ
34,2019,1,2018.12.30,2019.01.05,35,동화 (Feat. 아이유),김동률,동화
35,2019,1,2018.12.30,2019.01.05,36,사이렌 (Siren),선미,WARNING
36,2019,1,2018.12.30,2019.01.05,37,너도 그냥 날 놓아주면 돼,윤건,너도 그냥 날 놓아주면 돼
37,2019,1,2018.12.30,2019.01.05,38,알았다면,장덕철,알았다면
38,2019,1,2018.12.30,2019.01.05,39,밤편지,아이유 (IU),밤편지
39,2019,1,2018.12.30,2019.01.05,40,우리 그만하자,로이킴,우리 그만하자
40,2019,1,2018.12.30,2019.01.05,41,Dance The Night Away,TWICE,Summer Nights
41,2019,1,2018.12.30,2019.01.05,42,IndiGO,"저스디스 (JUSTHIS), Kid Milli, NO:EL, 영비 (Young B)",IM
42,2019,1,2018.12.30,2019.01.05,43,시간이 들겠지 (Feat. Colde),로꼬 (LOCO),시간이 들겠지
43,2019,1,2018.12.30,2019.01.05,44,헤어지는 중,펀치 (Punch),헤어지는 중
44,2019,1,2018.12.30,2019.01.05,45,미안해,양다일,inside
45,2019,1,2018.12.30,2019.01.05,46,너는 어땠을까,노을,별
46,2019,1,2018.12.30,2019.01.05,47,비,폴킴,비
47,2019,1,2018.12.30,2019.01.05,48,Santa Tell Me,Ariana Grande,Santa Tell Me
48,2019,1,2018.12.30,2019.01.05,49,Bohemian Rhapsody (2011 Remaster),Queen,Greatest Hits (2011 Remaster)
49,2019,1,2018.12.30,2019.01.05,50,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),자이언티(Zion.T),ZZZ
50,2019,1,2018.12.30,2019.01.05,51,FAKE LOVE,방탄소년단,LOVE YOURSELF 轉 `Tear`
51,2019,1,2018.12.30,2019.01.05,52,그때 헤어지면 돼,로이킴,그때 헤어지면 돼
52,2019,1,2018.12.30,2019.01.05,53,RBB (Really Bad Boy),레드벨벳(Red Velvet),RBB - The 5th Mini Album
53,2019,1,2018.12.30,2019.01.05,54,가을 안부,먼데이 키즈 (Monday Kiz),가을 안부
54,2019,1,2018.12.30,2019.01.05,55,꿈처럼 내린,다비치,뷰티 인사이드 OST Part.3
55,2019,1,2018.12.30,2019.01.05,56,flex (Prod. By 기리보이),"기리보이, Kid Milli, NO:EL, 스윙스 (Swings)",Dingo X Indigo Music
56,2019,1,2018.12.30,2019.01.05,57,봄날,방탄소년단,YOU NEVER WALK ALONE
57,2019,1,2018.12.30,2019.01.05,58,너 없인 안 된다,비투비 (BTOB),THIS IS US
58,2019,1,2018.12.30,2019.01.05,59,첫눈처럼 너에게 가겠다,에일리 (Ailee),도깨비 OST Part 9
59,2019,1,2018.12.30,2019.01.05,60,행복,오반 (OVAN),행복
60,2019,1,2018.12.30,2019.01.05,61,사랑 알 수 없나봐,폴킴,WHY : 당신이 연인에게 차인 진짜 이유 OST - Part.3
61,2019,1,2018.12.30,2019.01.05,62,시간을 견디면,엠씨더맥스 (M.C The Max),Circular
62,2019,1,2018.12.30,2019.01.05,63,여행,볼빨간사춘기,Red Diary Page.2
63,2019,1,2018.12.30,2019.01.05,64,그리워하다,비투비 (BTOB),Brother Act.
64,2019,1,2018.12.30,2019.01.05,65,Bohemian Rhapsody,Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody OST)
65,2019,1,2018.12.30,2019.01.05,66,이별길 (GOODBYE ROAD),iKON,NEW KIDS : THE FINAL
66,2019,1,2018.12.30,2019.01.05,67,수퍼비와 (Feat. BewhY) (Prod. BewhY),SUPERBEE,쇼미더머니 777 Semi Final
67,2019,1,2018.12.30,2019.01.05,68,선물,멜로망스(Melomance),Moonlight
68,2019,1,2018.12.30,2019.01.05,69,사랑을 했다 (LOVE SCENARIO),iKON,Return
69,2019,1,2018.12.30,2019.01.05,70,DNA,방탄소년단,LOVE YOURSELF 承 `Her`
70,2019,1,2018.12.30,2019.01.05,71,그날처럼,장덕철,그날처럼
71,2019,1,2018.12.30,2019.01.05,72,알러뷰,EXID,알러뷰
72,2019,1,2018.12.30,2019.01.05,73,에너제틱 (Energetic),Wanna One (워너원),1X1=1(TO BE ONE)
73,2019,1,2018.12.30,2019.01.05,74,I`m Fine,방탄소년단,LOVE YOURSELF 結 `Answer`
74,2019,1,2018.12.30,2019.01.05,75,Goodbye,웬디 (WENDY),뷰티 인사이드 OST Part.6
75,2019,1,2018.12.30,2019.01.05,76,첫눈처럼 너에게 가겠다 (Prod. 로코베리),김범수,첫눈처럼 너에게 가겠다
76,2019,1,2018.12.30,2019.01.05,77,HandClap,Fitz & The Tantrums,Fitz and The Tantrums (Deluxe)
77,2019,1,2018.12.30,2019.01.05,78,트라우마 (Trauma),EXO,LOVE SHOT - The 5th Album Repackage
78,2019,1,2018.12.30,2019.01.05,79,Beautiful,Wanna One (워너원),1-1=0 (NOTHING WITHOUT YOU)
79,2019,1,2018.12.30,2019.01.05,80,오답 (Feat. 이민혁 of BTOB),김나영,오답
80,2019,1,2018.12.30,2019.01.05,81,All I Want For Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition)
81,2019,1,2018.12.30,2019.01.05,82,Forever Young,BLACKPINK,SQUARE UP
82,2019,1,2018.12.30,2019.01.05,83,Shape of You,Ed Sheeran,÷ (Deluxe)
83,2019,1,2018.12.30,2019.01.05,84,잘 지내요,정승환,라이프 OST Part 6
84,2019,1,2018.12.30,2019.01.05,85,Save (Feat. 팔로알토) (Prod. 코드 쿤스트),루피(Loopy),쇼미더머니 777 Episode 3
85,2019,1,2018.12.30,2019.01.05,86,미리 메리 크리스마스 (Feat. 천둥),아이유 (IU),Real
86,2019,1,2018.12.30,2019.01.05,87,Euphoria,방탄소년단,LOVE YOURSELF 結 `Answer`
87,2019,1,2018.12.30,2019.01.05,88,너나 해 (Egotistic),마마무 (Mamamoo),RED MOON
88,2019,1,2018.12.30,2019.01.05,89,그걸로 나는 충분해요,엠씨더맥스 (M.C The Max),Circular
89,2019,1,2018.12.30,2019.01.05,90,Wait,EXO,LOVE SHOT - The 5th Album Repackage
90,2019,1,2018.12.30,2019.01.05,91,Havana (Feat. Young Thug),Camila Cabello,Camila
91,2019,1,2018.12.30,2019.01.05,92,주지마,"로꼬 (LOCO), 화사",건반 위의 하이에나 Part.4
92,2019,1,2018.12.30,2019.01.05,93,You,멜로망스(Melomance),투유 프로젝트 - 슈가맨2 Part.2
93,2019,1,2018.12.30,2019.01.05,94,Gravity,EXO,DON`T MESS UP MY TEMPO - The 5th Album
94,2019,1,2018.12.30,2019.01.05,95,그대가 내 안에 박혔다,황치열,그대가 내 안에 박혔다
95,2019,1,2018.12.30,2019.01.05,96,Universe,EXO,"Universe - 겨울 스페셜 앨범, 2017"
96,2019,1,2018.12.30,2019.01.05,97,"셋 셀테니 (1, 2, 3!)",승리,THE GREAT SEUNGRI
97,2019,1,2018.12.30,2019.01.05,98,너의 목소리가 들려,엠씨더맥스 (M.C The Max),Circular
98,2019,1,2018.12.30,2019.01.05,99,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,LOVE YOURSELF 轉 `Tear`
99,2019,1,2018.12.30,2019.01.05,100,동화,멜로망스(Melomance),The Fairy Tale
100,2019,2,2019.01.06,2019.01.12,1,넘쳐흘러,엠씨더맥스 (M.C The Max),Circular
101,2019,2,2019.01.06,2019.01.12,2,벌써 12시,청하,벌써 12시
102,2019,2,2019.01.06,2019.01.12,3,180도,벤 (Ben),180˚
103,2019,2,2019.01.06,2019.01.12,4,SOLO,제니 (JENNIE),SOLO
104,2019,2,2019.01.06,2019.01.12,5,신용재,하은,신용재
105,2019,2,2019.01.06,2019.01.12,6,아낙네,MINO (송민호),XX
106,2019,2,2019.01.06,2019.01.12,7,MILLIONS,위너(WINNER),MILLIONS
107,2019,2,2019.01.06,2019.01.12,8,너를 만나,폴킴,너를 만나
108,2019,2,2019.01.06,2019.01.12,9,YES or YES,TWICE,YES or YES
109,2019,2,2019.01.06,2019.01.12,10,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part 3
110,2019,2,2019.01.06,2019.01.12,11,첫눈에,헤이즈 (Heize),첫눈에
111,2019,2,2019.01.06,2019.01.12,12,내 생에 아름다운,케이윌 (K.Will),뷰티 인사이드 OST Part.4
112,2019,2,2019.01.06,2019.01.12,13,Love Shot,EXO,LOVE SHOT - The 5th Album Repackage
113,2019,2,2019.01.06,2019.01.12,14,가을 타나 봐,바이브 (Vibe),가을 타나 봐
114,2019,2,2019.01.06,2019.01.12,15,삐삐,아이유 (IU),삐삐
115,2019,2,2019.01.06,2019.01.12,16,습관 (Bad Habits),숀 (SHAUN),안녕
116,2019,2,2019.01.06,2019.01.12,17,%%(응응),에이핑크 (Apink),PERCENT
117,2019,2,2019.01.06,2019.01.12,18,"thank u, next",Ariana Grande,"thank u, next"
118,2019,2,2019.01.06,2019.01.12,19,고백,양다일,고백
119,2019,2,2019.01.06,2019.01.12,20,Way Back Home,숀 (SHAUN),Take
120,2019,2,2019.01.06,2019.01.12,21,흔한 이별,허각,흔한 이별
121,2019,2,2019.01.06,2019.01.12,22,열애중,벤 (Ben),RECIPE
122,2019,2,2019.01.06,2019.01.12,23,너도 그냥 날 놓아주면 돼,윤건,너도 그냥 날 놓아주면 돼
123,2019,2,2019.01.06,2019.01.12,24,하루도 그대를 사랑하지 않은 적이 없었다,임창정,하루도 그대를 사랑하지 않은 적이 없었다
124,2019,2,2019.01.06,2019.01.12,25,아름답고도 아프구나,비투비 (BTOB),HOUR MOMENT
125,2019,2,2019.01.06,2019.01.12,26,사계 (하루살이),엠씨더맥스 (M.C The Max),Circular
126,2019,2,2019.01.06,2019.01.12,27,IDOL,방탄소년단,LOVE YOURSELF 結 `Answer`
127,2019,2,2019.01.06,2019.01.12,28,Tempo,EXO,DON`T MESS UP MY TEMPO - The 5th Album
128,2019,2,2019.01.06,2019.01.12,29,이별하러 가는 길,임한별,이별하러 가는 길
129,2019,2,2019.01.06,2019.01.12,30,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1, Kid Milli, 루피 (Loopy)",쇼미더머니 777 Episode 1
130,2019,2,2019.01.06,2019.01.12,31,I`M OK,iKON,NEW KIDS REPACKAGE : THE NEW KIDS
131,2019,2,2019.01.06,2019.01.12,32,지나오다,닐로 (Nilo),About You
132,2019,2,2019.01.06,2019.01.12,33,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,SQUARE UP
133,2019,2,2019.01.06,2019.01.12,34,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),COLOR*IZ
134,2019,2,2019.01.06,2019.01.12,35,사이렌 (Siren),선미,WARNING
135,2019,2,2019.01.06,2019.01.12,36,밤편지,아이유 (IU),밤편지
136,2019,2,2019.01.06,2019.01.12,37,Snowman,Sia,Snowman
137,2019,2,2019.01.06,2019.01.12,38,Dance The Night Away,TWICE,Summer Nights
138,2019,2,2019.01.06,2019.01.12,39,우리 그만하자,로이킴,우리 그만하자
139,2019,2,2019.01.06,2019.01.12,40,Wind flower,마마무 (Mamamoo),BLUE;S
140,2019,2,2019.01.06,2019.01.12,41,봄바람,Wanna One (워너원),1¹¹=1 (POWER OF DESTINY)
141,2019,2,2019.01.06,2019.01.12,42,미안해,양다일,inside
142,2019,2,2019.01.06,2019.01.12,43,너는 어땠을까,노을,별
143,2019,2,2019.01.06,2019.01.12,44,비,폴킴,비
144,2019,2,2019.01.06,2019.01.12,45,IndiGO,"저스디스 (JUSTHIS), Kid Milli, NO:EL, 영비 (Young B)",IM
145,2019,2,2019.01.06,2019.01.12,46,헤어지는 중,펀치 (Punch),헤어지는 중
146,2019,2,2019.01.06,2019.01.12,47,동화 (Feat. 아이유),김동률,동화
147,2019,2,2019.01.06,2019.01.12,48,시간이 들겠지 (Feat. Colde),로꼬 (LOCO),시간이 들겠지
148,2019,2,2019.01.06,2019.01.12,49,알았다면,장덕철,알았다면
149,2019,2,2019.01.06,2019.01.12,50,FAKE LOVE,방탄소년단,LOVE YOURSELF 轉 `Tear`
150,2019,2,2019.01.06,2019.01.12,51,그때 헤어지면 돼,로이킴,그때 헤어지면 돼
151,2019,2,2019.01.06,2019.01.12,52,가을 안부,먼데이 키즈 (Monday Kiz),가을 안부
152,2019,2,2019.01.06,2019.01.12,53,I`m Here,양다일,알함브라 궁전의 추억 OST Part 5
153,2019,2,2019.01.06,2019.01.12,54,봄날,방탄소년단,YOU NEVER WALK ALONE
154,2019,2,2019.01.06,2019.01.12,55,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),자이언티(Zion.T),ZZZ
155,2019,2,2019.01.06,2019.01.12,56,꿈처럼 내린,다비치,뷰티 인사이드 OST Part.3
156,2019,2,2019.01.06,2019.01.12,57,사랑은 다 이러니,홍진영,사랑은 다 이러니
157,2019,2,2019.01.06,2019.01.12,58,행복,오반 (OVAN),행복
158,2019,2,2019.01.06,2019.01.12,59,flex (Prod. By 기리보이),"기리보이, Kid Milli, NO:EL, 스윙스 (Swings)",Dingo X Indigo Music
159,2019,2,2019.01.06,2019.01.12,60,RBB (Really Bad Boy),레드벨벳(Red Velvet),RBB - The 5th Mini Album
160,2019,2,2019.01.06,2019.01.12,61,사랑을 했다 (LOVE SCENARIO),iKON,Return
161,2019,2,2019.01.06,2019.01.12,62,너 없인 안 된다,비투비 (BTOB),THIS IS US
162,2019,2,2019.01.06,2019.01.12,63,그 남자를 떠나,god,THEN & NOW
163,2019,2,2019.01.06,2019.01.12,64,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,THEN & NOW
164,2019,2,2019.01.06,2019.01.12,65,시간을 견디면,엠씨더맥스 (M.C The Max),Circular
165,2019,2,2019.01.06,2019.01.12,66,이별길 (GOODBYE ROAD),iKON,NEW KIDS : THE FINAL
166,2019,2,2019.01.06,2019.01.12,67,Bohemian Rhapsody (2011 Remaster),Queen,Greatest Hits (2011 Remaster)
167,2019,2,2019.01.06,2019.01.12,68,첫눈처럼 너에게 가겠다,에일리 (Ailee),도깨비 OST Part 9
168,2019,2,2019.01.06,2019.01.12,69,We all lie,하진 (HAJIN),SKY 캐슬 OST Part.4
169,2019,2,2019.01.06,2019.01.12,70,여행,볼빨간사춘기,Red Diary Page.2
170,2019,2,2019.01.06,2019.01.12,71,DNA,방탄소년단,LOVE YOURSELF 承 `Her`
171,2019,2,2019.01.06,2019.01.12,72,그리워하다,비투비 (BTOB),Brother Act.
172,2019,2,2019.01.06,2019.01.12,73,사랑 알 수 없나봐,폴킴,WHY : 당신이 연인에게 차인 진짜 이유 OST - Part.3
173,2019,2,2019.01.06,2019.01.12,74,선물,멜로망스(Melomance),Moonlight
174,2019,2,2019.01.06,2019.01.12,75,그날처럼,장덕철,그날처럼
175,2019,2,2019.01.06,2019.01.12,76,수퍼비와 (Feat. BewhY) (Prod. BewhY),SUPERBEE,쇼미더머니 777 Semi Final
176,2019,2,2019.01.06,2019.01.12,77,Santa Tell Me,Ariana Grande,Santa Tell Me
177,2019,2,2019.01.06,2019.01.12,78,I`m Fine,방탄소년단,LOVE YOURSELF 結 `Answer`
178,2019,2,2019.01.06,2019.01.12,79,에너제틱 (Energetic),Wanna One (워너원),1X1=1(TO BE ONE)
179,2019,2,2019.01.06,2019.01.12,80,알러뷰,EXID,알러뷰
180,2019,2,2019.01.06,2019.01.12,81,HandClap,Fitz & The Tantrums,Fitz and The Tantrums (Deluxe)
181,2019,2,2019.01.06,2019.01.12,82,Shape of You,Ed Sheeran,÷ (Deluxe)
182,2019,2,2019.01.06,2019.01.12,83,Bohemian Rhapsody,Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody OST)
183,2019,2,2019.01.06,2019.01.12,84,Euphoria,방탄소년단,LOVE YOURSELF 結 `Answer`
184,2019,2,2019.01.06,2019.01.12,85,Forever Young,BLACKPINK,SQUARE UP
185,2019,2,2019.01.06,2019.01.12,86,잘 지내요,정승환,라이프 OST Part 6
186,2019,2,2019.01.06,2019.01.12,87,Beautiful,Wanna One (워너원),1-1=0 (NOTHING WITHOUT YOU)
187,2019,2,2019.01.06,2019.01.12,88,트라우마 (Trauma),EXO,LOVE SHOT - The 5th Album Repackage
188,2019,2,2019.01.06,2019.01.12,89,Havana (Feat. Young Thug),Camila Cabello,Camila
189,2019,2,2019.01.06,2019.01.12,90,Goodbye,웬디 (WENDY),뷰티 인사이드 OST Part.6
190,2019,2,2019.01.06,2019.01.12,91,너나 해 (Egotistic),마마무 (Mamamoo),RED MOON
191,2019,2,2019.01.06,2019.01.12,92,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,LOVE YOURSELF 轉 `Tear`
192,2019,2,2019.01.06,2019.01.12,93,You,멜로망스(Melomance),투유 프로젝트 - 슈가맨2 Part.2
193,2019,2,2019.01.06,2019.01.12,94,Roller Coaster,청하,Offset
194,2019,2,2019.01.06,2019.01.12,95,Wait,EXO,LOVE SHOT - The 5th Album Repackage
195,2019,2,2019.01.06,2019.01.12,96,그대가 내 안에 박혔다,황치열,그대가 내 안에 박혔다
196,2019,2,2019.01.06,2019.01.12,97,주지마,"로꼬 (LOCO), 화사",건반 위의 하이에나 Part.4
197,2019,2,2019.01.06,2019.01.12,98,첫눈처럼 너에게 가겠다 (Prod. 로코베리),김범수,첫눈처럼 너에게 가겠다
198,2019,2,2019.01.06,2019.01.12,99,동화,멜로망스(Melomance),The Fairy Tale
199,2019,2,2019.01.06,2019.01.12,100,Save (Feat. 팔로알토) (Prod. 코드 쿤스트),루피(Loopy),쇼미더머니 777 Episode 3
200,2019,3,2019.01.13,2019.01.19,1,넘쳐흘러,엠씨더맥스 (M.C The Max),Circular
201,2019,3,2019.01.13,2019.01.19,2,벌써 12시,청하,벌써 12시
202,2019,3,2019.01.13,2019.01.19,3,띵 (Prod. By 기리보이),"Jvcki Wai, Young B, Osshun Gum, 한요한",Dingo X Indigo Music
203,2019,3,2019.01.13,2019.01.19,4,180도,벤 (Ben),180˚
204,2019,3,2019.01.13,2019.01.19,5,SOLO,제니 (JENNIE),SOLO
205,2019,3,2019.01.13,2019.01.19,6,신용재,하은,신용재
206,2019,3,2019.01.13,2019.01.19,7,아낙네,MINO (송민호),XX
207,2019,3,2019.01.13,2019.01.19,8,너를 만나,폴킴,너를 만나
208,2019,3,2019.01.13,2019.01.19,9,MILLIONS,위너(WINNER),MILLIONS
209,2019,3,2019.01.13,2019.01.19,10,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part 3
210,2019,3,2019.01.13,2019.01.19,11,YES or YES,TWICE,YES or YES
211,2019,3,2019.01.13,2019.01.19,12,해야 (Sunrise),여자친구 (GFRIEND),The 2nd Album `Time for us`
212,2019,3,2019.01.13,2019.01.19,13,초록빛,폴킴,초록빛
213,2019,3,2019.01.13,2019.01.19,14,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,THEN & NOW
214,2019,3,2019.01.13,2019.01.19,15,내 생에 아름다운,케이윌 (K.Will),뷰티 인사이드 OST Part.4
215,2019,3,2019.01.13,2019.01.19,16,너도 그냥 날 놓아주면 돼,윤건,너도 그냥 날 놓아주면 돼
216,2019,3,2019.01.13,2019.01.19,17,첫눈에,헤이즈 (Heize),첫눈에
217,2019,3,2019.01.13,2019.01.19,18,삐삐,아이유 (IU),삐삐
218,2019,3,2019.01.13,2019.01.19,19,가을 타나 봐,바이브 (Vibe),가을 타나 봐
219,2019,3,2019.01.13,2019.01.19,20,Love Shot,EXO,LOVE SHOT - The 5th Album Repackage
220,2019,3,2019.01.13,2019.01.19,21,%%(응응),에이핑크 (Apink),PERCENT
221,2019,3,2019.01.13,2019.01.19,22,고백,양다일,고백
222,2019,3,2019.01.13,2019.01.19,23,"thank u, next",Ariana Grande,"thank u, next"
223,2019,3,2019.01.13,2019.01.19,24,Way Back Home,숀 (SHAUN),Take
224,2019,3,2019.01.13,2019.01.19,25,흔한 이별,허각,흔한 이별
225,2019,3,2019.01.13,2019.01.19,26,열애중,벤 (Ben),RECIPE
226,2019,3,2019.01.13,2019.01.19,27,습관 (Bad Habits),숀 (SHAUN),안녕
227,2019,3,2019.01.13,2019.01.19,28,하루도 그대를 사랑하지 않은 적이 없었다,임창정,하루도 그대를 사랑하지 않은 적이 없었다
228,2019,3,2019.01.13,2019.01.19,29,아름답고도 아프구나,비투비 (BTOB),HOUR MOMENT
229,2019,3,2019.01.13,2019.01.19,30,IDOL,방탄소년단,LOVE YOURSELF 結 `Answer`
230,2019,3,2019.01.13,2019.01.19,31,이별하러 가는 길,임한별,이별하러 가는 길
231,2019,3,2019.01.13,2019.01.19,32,사계 (하루살이),엠씨더맥스 (M.C The Max),Circular
232,2019,3,2019.01.13,2019.01.19,33,Tempo,EXO,DON`T MESS UP MY TEMPO - The 5th Album
233,2019,3,2019.01.13,2019.01.19,34,We all lie,하진 (HAJIN),SKY 캐슬 OST Part.4
234,2019,3,2019.01.13,2019.01.19,35,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1, Kid Milli, 루피 (Loopy)",쇼미더머니 777 Episode 1
235,2019,3,2019.01.13,2019.01.19,36,지나오다,닐로 (Nilo),About You
236,2019,3,2019.01.13,2019.01.19,37,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,SQUARE UP
237,2019,3,2019.01.13,2019.01.19,38,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),COLOR*IZ
238,2019,3,2019.01.13,2019.01.19,39,밤편지,아이유 (IU),밤편지
239,2019,3,2019.01.13,2019.01.19,40,사이렌 (Siren),선미,WARNING
240,2019,3,2019.01.13,2019.01.19,41,그 남자를 떠나,god,THEN & NOW
241,2019,3,2019.01.13,2019.01.19,42,너는 어땠을까,노을,별
242,2019,3,2019.01.13,2019.01.19,43,미안해,양다일,inside
243,2019,3,2019.01.13,2019.01.19,44,Dance The Night Away,TWICE,Summer Nights
244,2019,3,2019.01.13,2019.01.19,45,우리 그만하자,로이킴,우리 그만하자
245,2019,3,2019.01.13,2019.01.19,46,비,폴킴,비
246,2019,3,2019.01.13,2019.01.19,47,헤어지는 중,펀치 (Punch),헤어지는 중
247,2019,3,2019.01.13,2019.01.19,48,FAKE LOVE,방탄소년단,LOVE YOURSELF 轉 `Tear`
248,2019,3,2019.01.13,2019.01.19,49,Snowman,Sia,Snowman
249,2019,3,2019.01.13,2019.01.19,50,봄바람,Wanna One (워너원),1¹¹=1 (POWER OF DESTINY)
250,2019,3,2019.01.13,2019.01.19,51,알았다면,장덕철,알았다면
251,2019,3,2019.01.13,2019.01.19,52,시간이 들겠지 (Feat. Colde),로꼬 (LOCO),시간이 들겠지
252,2019,3,2019.01.13,2019.01.19,53,Wind flower,마마무 (Mamamoo),BLUE;S
253,2019,3,2019.01.13,2019.01.19,54,그때 헤어지면 돼,로이킴,그때 헤어지면 돼
254,2019,3,2019.01.13,2019.01.19,55,가을 안부,먼데이 키즈 (Monday Kiz),가을 안부
255,2019,3,2019.01.13,2019.01.19,56,flex (Prod. By 기리보이),"기리보이, Kid Milli, NO:EL, 스윙스 (Swings)",Dingo X Indigo Music
256,2019,3,2019.01.13,2019.01.19,57,봄날,방탄소년단,YOU NEVER WALK ALONE
257,2019,3,2019.01.13,2019.01.19,58,IndiGO,"저스디스 (JUSTHIS), Kid Milli, NO:EL, 영비 (Young B)",IM
258,2019,3,2019.01.13,2019.01.19,59,사랑을 했다 (LOVE SCENARIO),iKON,Return
259,2019,3,2019.01.13,2019.01.19,60,동화 (Feat. 아이유),김동률,동화
260,2019,3,2019.01.13,2019.01.19,61,행복,오반 (OVAN),행복
261,2019,3,2019.01.13,2019.01.19,62,너 없인 안 된다,비투비 (BTOB),THIS IS US
262,2019,3,2019.01.13,2019.01.19,63,꿈처럼 내린,다비치,뷰티 인사이드 OST Part.3
263,2019,3,2019.01.13,2019.01.19,64,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),자이언티(Zion.T),ZZZ
264,2019,3,2019.01.13,2019.01.19,65,그리워하다,비투비 (BTOB),Brother Act.
265,2019,3,2019.01.13,2019.01.19,66,겨울이라 이런 거면 좋겠다,먼데이 키즈 (Monday Kiz),겨울이라 이런 거면 좋겠다
266,2019,3,2019.01.13,2019.01.19,67,이별길 (GOODBYE ROAD),iKON,NEW KIDS : THE FINAL
267,2019,3,2019.01.13,2019.01.19,68,DNA,방탄소년단,LOVE YOURSELF 承 `Her`
